timestamp,experiment_name,model_type,optimizer,lr,batch_size,dropout,augmentation,initialization,accuracy,f1_macro,f1_per_class,train_time_sec,epochs_run,best_epoch,num_params,flops,gpu_mem_mb,device,seed,config_file,slurm_job_id
2026-04-03T23:06:39.534849,ablation_initialization_xavier,simple_cnn,adamw,0.001,128,0.3,none,xavier,0.916,0.9166,"[0.8772, 0.9887, 0.8612, 0.9075, 0.8653, 0.9762, 0.7762, 0.9609, 0.983, 0.9698]",60.59,16,11,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_initialization_xavier.yaml,11115378
2026-04-03T23:06:43.694609,ablation_initialization_he,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",98.23,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_initialization_he.yaml,11115377
2026-04-03T23:07:44.577669,ablation_lr_00001,simple_cnn,adamw,0.0001,128,0.3,none,he,0.8996,0.89931,"[0.8506, 0.9873, 0.8514, 0.8983, 0.8487, 0.9656, 0.7093, 0.9493, 0.9695, 0.9632]",92.52,47,46,207018,1293312,50.1,NVIDIA A40,42,ablation_lr_00001.yaml,11115379
2026-04-03T23:07:55.822032,ablation_lr_0001,simple_cnn,adamw,0.001,128,0.3,none,he,0.9174,0.91744,"[0.8662, 0.9903, 0.881, 0.9154, 0.8838, 0.977, 0.7563, 0.9559, 0.9791, 0.9694]",67.0,28,23,207018,1293312,50.1,NVIDIA A40,42,ablation_lr_0001.yaml,11115380
2026-04-03T23:08:16.182343,ablation_lr_001,simple_cnn,adamw,0.01,128,0.3,none,he,0.9028,0.90134,"[0.8546, 0.9883, 0.8628, 0.8812, 0.8562, 0.975, 0.7065, 0.9485, 0.9847, 0.9557]",46.27,14,9,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_lr_001.yaml,11115381
2026-04-03T23:08:19.609373,ablation_lr_01,simple_cnn,adamw,0.1,128,0.3,none,he,0.6595,0.67158,"[0.4645, 0.9606, 0.4078, 0.7626, 0.4732, 0.7783, 0.4325, 0.752, 0.856, 0.8283]",49.71,13,8,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_lr_01.yaml,11115382
2026-04-03T23:10:53.828681,ablation_optimizer_adamw,simple_cnn,adamw,0.001,128,0.3,none,he,0.9191,0.91939,"[0.869, 0.9907, 0.8762, 0.9096, 0.8845, 0.9767, 0.7835, 0.954, 0.9831, 0.9667]",118.98,30,26,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_adamw.yaml,11115383
2026-04-03T23:11:13.556659,ablation_optimizer_adam,simple_cnn,adam,0.001,128,0.3,none,he,0.9212,0.9218,"[0.8685, 0.9907, 0.8815, 0.9111, 0.8851, 0.9829, 0.7917, 0.9598, 0.9826, 0.9642]",106.68,33,28,207018,1293312,50.1,NVIDIA A100-SXM4-80GB,42,ablation_optimizer_adam.yaml,11115384
2026-04-03T23:11:51.928046,ablation_optimizer_sgd_momentum,simple_cnn,sgd_momentum,0.001,128,0.3,none,he,0.8964,0.89691,"[0.8395, 0.9868, 0.8451, 0.9044, 0.8482, 0.9642, 0.7066, 0.9493, 0.9678, 0.957]",102.24,50,50,207018,1293312,49.3,NVIDIA A40,42,ablation_optimizer_sgd_momentum.yaml,11115385
2026-04-03T23:13:10.229867,baseline_mlp,mlp,adamw,0.001,128,0.3,none,he,0.8762,0.87582,"[0.8285, 0.9844, 0.7884, 0.887, 0.7977, 0.9545, 0.6884, 0.9222, 0.9666, 0.9405]",42.03,22,17,535818,535040,28.6,NVIDIA A40,42,baseline_mlp.yaml,11115388
